[Epoch 134/3000] D Loss: -1.2422 | G Loss: 1.5220 | W Dist: 2.1684 | Aux MSE: 0.0001

[Epoch 135/3000] D Loss: -0.9399 | G Loss: 1.4986 | W Dist: 2.0237 | Aux MSE: 0.0001

[Epoch 136/3000] D Loss: -0.8297 | G Loss: 1.4383 | W Dist: 1.9540 | Aux MSE: 0.0000

[Epoch 137/3000] D Loss: -0.7364 | G Loss: 1.3867 | W Dist: 1.7992 | Aux MSE: 0.0000

[Epoch 138/3000] D Loss: -0.8615 | G Loss: 1.5001 | W Dist: 1.7743 | Aux MSE: 0.0000

[Epoch 139/3000] D Loss: -0.7887 | G Loss: 1.4869 | W Dist: 1.7614 | Aux MSE: 0.0000

[Epoch 140/3000] D Loss: -0.8441 | G Loss: 1.5013 | W Dist: 1.8062 | Aux MSE: 0.0000

[Epoch 141/3000] D Loss: -0.6799 | G Loss: 1.4349 | W Dist: 1.7262 | Aux MSE: 0.0000

[Epoch 142/3000] D Loss: -0.6524 | G Loss: 1.3249 | W Dist: 1.5956 | Aux MSE: 0.0000

[Epoch 143/3000] D Loss: -0.6897 | G Loss: 1.2001 | W Dist: 1.5564 | Aux MSE: 0.0000

[Epoch 144/3000] D Loss: -0.7332 | G Loss: 1.1369 | W Dist: 1.5549 | Aux MSE: 0.0000

[Epoch 145/3000] D Loss: -0.6870 | G Loss: 1.1108 | W Dist: 1.5387 | Aux MSE: 0.0000

[Epoch 146/3000] D Loss: -0.5976 | G Loss: 1.0651 | W Dist: 1.4841 | Aux MSE: 0.0000

[Epoch 147/3000] D Loss: -0.5356 | G Loss: 0.9736 | W Dist: 1.4501 | Aux MSE: 0.0000

[Epoch 148/3000] D Loss: -0.6087 | G Loss: 0.9007 | W Dist: 1.4975 | Aux MSE: 0.0000

[Epoch 149/3000] D Loss: -0.6847 | G Loss: 0.8687 | W Dist: 1.4724 | Aux MSE: 0.0000

[Epoch 150/3000] D Loss: -0.7102 | G Loss: 0.8900 | W Dist: 1.4838 | Aux MSE: 0.0000

